17:43:33.672 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.config.annotation.authentication.configuration.AuthenticationConfiguration$DefaultPasswordEncoderAuthenticationManagerBuilder
17:43:33.672 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.config.annotation.authentication.configuration.AuthenticationConfiguration$EnableGlobalAuthenticationAutowiredConfigurer
17:43:33.672 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer
17:43:33.672 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.config.annotation.authentication.configuration.InitializeAuthenticationProviderBeanManagerConfigurer
17:43:33.672 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.config.annotation.web.configuration.WebSecurityConfiguration$$EnhancerBySpringCGLIB$$89955f02
17:43:33.672 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.context.DelegatingApplicationListener
17:43:33.673 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.web.access.expression.DefaultWebSecurityExpressionHandler
17:43:33.673 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.web.FilterChainProxy
17:43:33.673 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.web.access.DefaultWebInvocationPrivilegeEvaluator
17:43:33.673 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.config.annotation.web.configuration.AutowiredWebSecurityConfigurersIgnoreParents
17:43:33.673 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.config.annotation.web.configuration.WebMvcSecurityConfiguration
17:43:33.673 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.web.servlet.support.csrf.CsrfRequestDataValueProcessor
17:43:33.673 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$9fe69cfb
17:43:33.673 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.access.intercept.aopalliance.MethodSecurityInterceptor
17:43:33.674 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource
17:43:33.677 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.access.expression.method.ExpressionBasedPreInvocationAdvice
17:43:33.677 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.crypto.bcrypt.BCryptPasswordEncoder
17:43:33.677 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.ServerConfig$AppAuthProvider
17:43:33.677 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.security.access.intercept.aopalliance.MethodSecurityMetadataSourceAdvisor
17:43:33.679 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.aop.aspectj.annotation.AnnotationAwareAspectJAutoProxyCreator
17:43:33.680 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: com.easyData.pos.easyPos.SSLConfig$1
17:43:33.680 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.boot.web.servlet.FilterRegistrationBean
17:43:33.680 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.boot.autoconfigure.AutoConfigurationPackages$BasePackages
17:43:33.680 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.boot.autoconfigure.context.PropertyPlaceholderAutoConfiguration$$EnhancerBySpringCGLIB$$e31aa448
17:43:33.680 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.boot.autoconfigure.condition.BeanTypeRegistry
17:43:33.681 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.context.support.PropertySourcesPlaceholderConfigurer
17:43:33.681 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration$$EnhancerBySpringCGLIB$$ab5b59a8
17:43:33.681 [restartedMain]   TRACE o.s.c.e.EventListenerMethodProcessor - No @EventListener annotations found on bean class: org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration$StandardJackson2ObjectMapperBuilderCustomizer
